what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.pde.ui,3.4.0.v20080803-1700,org.eclipse.pde.ui,1443759093698
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1443759093701
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.101.v20080620,org.eclipse.jst.server.tomcat.ui,1443759093702
stopped,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1443759093703
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.tasks,1443759093704
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1443759093706
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1443759093709
stopped,bundle,org.eclipse.jem.ui,2.0.100.v200806051600,org.eclipse.jem.ui,1443759093711
stopped,bundle,org.eclipse.jst.server.preview.adapter,1.0.101.v20080730,org.eclipse.jst.server.preview.adapter,1443759093713
activated,perspective,org.eclipse.jst.j2ee.ui,,org.eclipse.jst.j2ee.J2EEPerspective,1443759144907
started,bundle,org.eclipse.osgi,3.4.2.R34x_v20080826-1230,org.eclipse.osgi,1443759144908
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.0.v20080604,org.eclipse.equinox.simpleconfigurator,1443759144908
started,bundle,com.ibm.icu,3.8.1.v20080530,com.ibm.icu,1443759144909
started,bundle,org.eclipse.core.contenttype,3.3.0.v20080604-1400,org.eclipse.core.contenttype,1443759144909
started,bundle,org.eclipse.core.databinding,1.1.1.M20080827-0800b,org.eclipse.core.databinding,1443759144909
started,bundle,org.eclipse.core.expressions,3.4.0.v20080603-2000,org.eclipse.core.expressions,1443759144909
started,bundle,org.eclipse.core.filebuffers,3.4.0.v20080603-2000,org.eclipse.core.filebuffers,1443759144910
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1443759144910
started,bundle,org.eclipse.core.jobs,3.4.0.v20080512,org.eclipse.core.jobs,1443759144910
started,bundle,org.eclipse.core.net,1.1.0.I20080604,org.eclipse.core.net,1443759144910
started,bundle,org.eclipse.core.resources,3.4.1.R34x_v20080902,org.eclipse.core.resources,1443759144911
started,bundle,org.eclipse.core.runtime,3.4.0.v20080512,org.eclipse.core.runtime,1443759144911
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20071008,org.eclipse.core.runtime.compatibility,1443759144911
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20070502,org.eclipse.core.runtime.compatibility.auth,1443759144911
started,bundle,org.eclipse.equinox.app,1.1.0.v20080421-2006,org.eclipse.equinox.app,1443759144912
started,bundle,org.eclipse.equinox.common,3.4.0.v20080421-2006,org.eclipse.equinox.common,1443759144912
started,bundle,org.eclipse.equinox.frameworkadmin,1.0.2.R34x_v20080910,org.eclipse.equinox.frameworkadmin,1443759144912
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.2.R34x_v20080911,org.eclipse.equinox.frameworkadmin.equinox,1443759144912
started,bundle,org.eclipse.equinox.p2.core,1.0.0.v20080530-1237,org.eclipse.equinox.p2.core,1443759144913
started,bundle,org.eclipse.equinox.p2.director,1.0.2.v20080806-1619,org.eclipse.equinox.p2.director,1443759144913
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.2.v20080806-1619,org.eclipse.equinox.p2.directorywatcher,1443759144913
started,bundle,org.eclipse.equinox.p2.engine,1.0.1.R34x_v20080827,org.eclipse.equinox.p2.engine,1443759144913
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.0.v20080427-2136,org.eclipse.equinox.p2.exemplarysetup,1443759144914
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.1.R34x_v20080818,org.eclipse.equinox.p2.garbagecollector,1443759144914
